EVA_NR,DS100,IFOPT,NAME,VERKEHR,STATUS
8000259,EMLR,de:05117:15225,Mülheim(Ruhr)Hbf,FV,
8000260,NWH,de:09663:177,Würzburg Hbf,FV,
8000261,MH,de:09162:100,München Hbf,FV,
8000262,MOP,de:09162:5,München Ost,FV,
8000263,"EMST,EMSTP",de:05515:41000,Münster(Westf)Hbf,FV,
8000266,KW,de:05124:11376,Wuppertal Hbf,FV,
8000271,AN,de:01004:66023,Neumünster,FV,
8000274,"KN,KN  O,KN  W",de:05162:20055,Neuss Hbf,FV,
8000275,RN,de:07316:3144,Neustadt(Weinstr)Hbf,FV,
8000279,HNBG,de:03256:67639,Nienburg(Weser),FV,
8000283,HN,de:03155:68704,Northeim(Han),FV,
8000284,NN,de:09564:510,Nürnberg Hbf,FV,
8000286,EOB,de:05119:14022,Oberhausen Hbf,FV,
8000290,RO,de:08317:14506,Offenburg,FV,
8000291,HOLD,de:03403:16750,Oldenburg(Oldb),FV,
8000294,"HO,HO  O,HO  U",de:03404:71612,Osnabrück Hbf,FV,
8000297,EPD,de:05774:7000,Paderborn Hbf,FV,
8000298,NPA,de:09262:156,Passau Hbf,FV,
8000299,TPH,de:08231:50,Pforzheim Hbf,FV,
8000301,NPL,de:09271:4445,Plattling,FV,
8000302,TP,de:08116:7802,Plochingen,FV,
8000306,RRA,de:08216:1844,Rastatt,FV,
8000307,ERE,de:05562:3581,Recklinghausen Hbf,FV,
8000309,NRH,de:09362:11090,Regensburg Hbf,FV,
8000310,KRE,de:07131:80107,Remagen,FV,
8000312,AR,de:01058:76697,Rendsburg,FV,
8000314,TRE,de:08415:22006,Reutlingen Hbf,FV,
8000316,HR,de:05566:60846,Rheine,FV,
8000318,"KRY,KRY P",de:05116:23023,Rheydt Hbf,FV,
8000320,MRO,de:09163:9,Rosenheim,FV,
8000321,AROG,de:03357:78914,Rotenburg(Wümme),FV,
8000322,TR,de:08325:6584,Rottweil,FV,
